cell_id,replicate,model,harness_config,scaffold,language,task,status,requirement_coverage,code_quality,cost_per_task,latency_s,tokens,runner,notes,x_raw_model,memory
metaharness-rest-api-crud-python-frontier,1,frontier,metaharness,none,python,rest-api-crud,pass,1.0,0.7888888888888889,0.29549,69.74444244100596,37563,metaharness,req_cov_raw=1.0,opus-4.8,none
metaharness-rest-api-crud-typescript-frontier,1,frontier,metaharness,none,typescript,rest-api-crud,pass,1.0,0.7333333333333334,0.701291,141.3967111559905,102523,metaharness,req_cov_raw=1.0,opus-4.8,none
metaharness-rest-api-crud-go-frontier,1,frontier,metaharness,none,go,rest-api-crud,pass,0.9167,1.0,2.173931,648.5227604569955,152270,metaharness,req_cov_raw=0.9167,opus-4.8,none
metaharness-rest-api-crud-rust-frontier,1,frontier,metaharness,none,rust,rest-api-crud,pass,1.0,0.8333333333333334,1.15384,260.51655449700775,135159,metaharness,req_cov_raw=1.0,opus-4.8,none
metaharness-rest-api-crud-python-frontier,2,frontier,metaharness,none,python,rest-api-crud,pass,1.0,0.7888888888888889,0.271473,50.70880954799941,40259,metaharness,req_cov_raw=1.0,opus-4.8,none
metaharness-rest-api-crud-typescript-frontier,2,frontier,metaharness,none,typescript,rest-api-crud,pass,1.0,0.7333333333333334,0.706113,145.59189219599648,101385,metaharness,req_cov_raw=1.0,opus-4.8,none
metaharness-rest-api-crud-go-frontier,2,frontier,metaharness,none,go,rest-api-crud,pass,1.0,1.0,1.097049,294.7811913670012,106130,metaharness,req_cov_raw=1.0,opus-4.8,none
metaharness-rest-api-crud-rust-frontier,2,frontier,metaharness,none,rust,rest-api-crud,pass,1.0,0.8333333333333334,1.079575,245.6656706770009,134412,metaharness,req_cov_raw=1.0,opus-4.8,none
metaharness-rest-api-crud-python-frontier,3,frontier,metaharness,none,python,rest-api-crud,pass,1.0,0.7888888888888889,0.390253,89.33942724800727,46771,metaharness,req_cov_raw=1.0,opus-4.8,none
metaharness-rest-api-crud-typescript-frontier,3,frontier,metaharness,none,typescript,rest-api-crud,pass,1.0,0.7333333333333334,0.655266,136.26421080400178,97573,metaharness,req_cov_raw=1.0,opus-4.8,none
metaharness-rest-api-crud-go-frontier,3,frontier,metaharness,none,go,rest-api-crud,pass,1.0,1.0,1.305043,352.0355306810088,109897,metaharness,req_cov_raw=1.0,opus-4.8,none
metaharness-rest-api-crud-rust-frontier,3,frontier,metaharness,none,rust,rest-api-crud,pass,1.0,0.8333333333333334,1.205211,340.7782624410029,114997,metaharness,req_cov_raw=1.0,opus-4.8,none
metaharness-cli-data-pipeline-python-frontier,1,frontier,metaharness,none,python,cli-data-pipeline,pass,1.0,0.7888888888888889,0.865923,228.57462893999764,78874,metaharness,req_cov_raw=1.0,opus-4.8,none
metaharness-cli-data-pipeline-typescript-frontier,1,frontier,metaharness,none,typescript,cli-data-pipeline,fail,0.9167,0.7333333333333334,1.414151,340.95935623100377,154767,metaharness,req_cov_raw=0.9167,opus-4.8,none
metaharness-cli-data-pipeline-go-frontier,1,frontier,metaharness,none,go,cli-data-pipeline,pass,1.0,1.0,1.640851,425.9079846359964,151437,metaharness,req_cov_raw=1.0,opus-4.8,none
metaharness-cli-data-pipeline-rust-frontier,1,frontier,metaharness,none,rust,cli-data-pipeline,fail,0.0,0.0,0.0,720.0254807390011,0,metaharness,req_cov_raw=None,opus-4.8,none
metaharness-cli-data-pipeline-python-frontier,2,frontier,metaharness,none,python,cli-data-pipeline,pass,1.0,0.7888888888888889,0.585333,93.91121196799212,88809,metaharness,req_cov_raw=1.0,opus-4.8,none
metaharness-cli-data-pipeline-typescript-frontier,2,frontier,metaharness,none,typescript,cli-data-pipeline,fail,0.8182,0.0,1.186243,246.5808738420019,148689,metaharness,req_cov_raw=0.8182,opus-4.8,none
metaharness-cli-data-pipeline-go-frontier,2,frontier,metaharness,none,go,cli-data-pipeline,fail,0.0,0.0,0.0,720.0499660770001,0,metaharness,req_cov_raw=None,opus-4.8,none
metaharness-cli-data-pipeline-rust-frontier,2,frontier,metaharness,none,rust,cli-data-pipeline,pass,0.75,0.0,1.657508,412.1995434260025,166538,metaharness,req_cov_raw=0.75,opus-4.8,none
metaharness-cli-data-pipeline-python-frontier,3,frontier,metaharness,none,python,cli-data-pipeline,pass,1.0,0.7888888888888889,0.954687,219.1618968230032,108894,metaharness,req_cov_raw=1.0,opus-4.8,none
metaharness-cli-data-pipeline-typescript-frontier,3,frontier,metaharness,none,typescript,cli-data-pipeline,pass,0.8182,0.0,1.245336,288.3417288999917,143251,metaharness,req_cov_raw=0.8182,opus-4.8,none
metaharness-cli-data-pipeline-go-frontier,3,frontier,metaharness,none,go,cli-data-pipeline,pass,1.0,0.9555555555555556,1.434213,341.9657508399978,153208,metaharness,req_cov_raw=1.0,opus-4.8,none
metaharness-cli-data-pipeline-rust-frontier,3,frontier,metaharness,none,rust,cli-data-pipeline,fail,0.5454545454545454,0.0,1.650211,401.0343566430092,171276,metaharness,req_cov_raw=0.5454545454545454,opus-4.8,none
claude-code-rest-api-crud-python-cheap,1,cheap,claude-code,none,python,rest-api-crud,pass,1.0,0.8333333333333334,0.2569382,144.36238599500211,1007057,claude-code,req_cov_raw=1.0,haiku,none
claude-code-rest-api-crud-python-frontier,1,frontier,claude-code,none,python,rest-api-crud,pass,1.0,0.8333333333333334,0.8967894999999998,97.56926865699644,531473,claude-code,req_cov_raw=1.0,opus-4.8,none
claude-code-rest-api-crud-typescript-cheap,1,cheap,claude-code,none,typescript,rest-api-crud,fail,0.0,0.0,0.262656,106.76312895699812,1079110,claude-code,req_cov_raw=None,haiku,none
