cell_id,replicate,model,harness_config,scaffold,language,task,status,requirement_coverage,code_quality,cost_per_task,latency_s,tokens,runner,notes,x_raw_model
metaharness-rest-api-crud-python-cheap,1,cheap,metaharness,none,python,rest-api-crud,fail,0.0,0.7888888888888889,0.0,720.1032413739886,0,metaharness,req_cov_raw=None,deepseek-v4-pro
metaharness-rest-api-crud-python-frontier,1,frontier,metaharness,none,python,rest-api-crud,pass,1.0,0.7888888888888889,0.29549,69.74444244100596,37563,metaharness,req_cov_raw=1.0,opus-4.8
metaharness-rest-api-crud-typescript-cheap,1,cheap,metaharness,none,typescript,rest-api-crud,fail,0.0,0.0,0.0,720.0128330619918,0,metaharness,req_cov_raw=None,deepseek-v4-pro
metaharness-rest-api-crud-typescript-frontier,1,frontier,metaharness,none,typescript,rest-api-crud,pass,1.0,0.7333333333333334,0.701291,141.3967111559905,102523,metaharness,req_cov_raw=1.0,opus-4.8
metaharness-rest-api-crud-go-cheap,1,cheap,metaharness,none,go,rest-api-crud,pass,1.0,0.9555555555555556,0.098503,455.01381207500526,112249,metaharness,req_cov_raw=1.0,deepseek-v4-pro
metaharness-rest-api-crud-go-frontier,1,frontier,metaharness,none,go,rest-api-crud,pass,0.9167,1.0,2.173931,648.5227604569955,152270,metaharness,req_cov_raw=0.9167,opus-4.8
metaharness-rest-api-crud-rust-cheap,1,cheap,metaharness,none,rust,rest-api-crud,fail,0.9,0.8333333333333334,0.134675,544.341061130006,124740,metaharness,req_cov_raw=0.9,deepseek-v4-pro
metaharness-rest-api-crud-rust-frontier,1,frontier,metaharness,none,rust,rest-api-crud,pass,1.0,0.8333333333333334,1.15384,260.51655449700775,135159,metaharness,req_cov_raw=1.0,opus-4.8
metaharness-rest-api-crud-python-cheap,2,cheap,metaharness,none,python,rest-api-crud,pass,1.0,0.8333333333333334,0.057114,243.23826752799505,41025,metaharness,req_cov_raw=1.0,deepseek-v4-pro
metaharness-rest-api-crud-python-frontier,2,frontier,metaharness,none,python,rest-api-crud,pass,1.0,0.7888888888888889,0.271473,50.70880954799941,40259,metaharness,req_cov_raw=1.0,opus-4.8
metaharness-rest-api-crud-typescript-cheap,2,cheap,metaharness,none,typescript,rest-api-crud,pass,1.0,0.7333333333333334,0.093384,323.83078918200044,108395,metaharness,req_cov_raw=1.0,deepseek-v4-pro
metaharness-rest-api-crud-typescript-frontier,2,frontier,metaharness,none,typescript,rest-api-crud,pass,1.0,0.7333333333333334,0.706113,145.59189219599648,101385,metaharness,req_cov_raw=1.0,opus-4.8
metaharness-rest-api-crud-go-cheap,2,cheap,metaharness,none,go,rest-api-crud,fail,0.8333,0.0,0.077248,509.72929706001014,129545,metaharness,req_cov_raw=0.8333,deepseek-v4-pro
metaharness-rest-api-crud-go-frontier,2,frontier,metaharness,none,go,rest-api-crud,pass,1.0,1.0,1.097049,294.78119136700116,106130,metaharness,req_cov_raw=1.0,opus-4.8
metaharness-rest-api-crud-rust-cheap,2,cheap,metaharness,none,rust,rest-api-crud,pass,1.0,0.0,0.13306,709.6545905940002,144438,metaharness,req_cov_raw=1.0,deepseek-v4-pro
metaharness-rest-api-crud-rust-frontier,2,frontier,metaharness,none,rust,rest-api-crud,pass,1.0,0.8333333333333334,1.079575,245.6656706770009,134412,metaharness,req_cov_raw=1.0,opus-4.8
metaharness-rest-api-crud-python-cheap,3,cheap,metaharness,none,python,rest-api-crud,pass,1.0,0.8333333333333334,0.038973,248.51596509899537,61687,metaharness,req_cov_raw=1.0,deepseek-v4-pro
metaharness-rest-api-crud-python-frontier,3,frontier,metaharness,none,python,rest-api-crud,pass,1.0,0.7888888888888889,0.390253,89.33942724800727,46771,metaharness,req_cov_raw=1.0,opus-4.8
metaharness-rest-api-crud-typescript-cheap,3,cheap,metaharness,none,typescript,rest-api-crud,fail,0.9,0.5666666666666667,0.06822,329.3737710819987,102320,metaharness,req_cov_raw=0.9,deepseek-v4-pro
metaharness-rest-api-crud-typescript-frontier,3,frontier,metaharness,none,typescript,rest-api-crud,pass,1.0,0.7333333333333334,0.655266,136.26421080400178,97573,metaharness,req_cov_raw=1.0,opus-4.8
metaharness-rest-api-crud-go-cheap,3,cheap,metaharness,none,go,rest-api-crud,pass,1.0,0.9555555555555556,0.079012,302.2664433059981,76141,metaharness,req_cov_raw=1.0,deepseek-v4-pro
metaharness-rest-api-crud-go-frontier,3,frontier,metaharness,none,go,rest-api-crud,pass,1.0,1.0,1.305043,352.0355306810088,109897,metaharness,req_cov_raw=1.0,opus-4.8
metaharness-rest-api-crud-rust-cheap,3,cheap,metaharness,none,rust,rest-api-crud,fail,0.8333,0.0,0.127752,888.9090111730038,149297,metaharness,req_cov_raw=0.8333,deepseek-v4-pro
metaharness-rest-api-crud-rust-frontier,3,frontier,metaharness,none,rust,rest-api-crud,pass,1.0,0.8333333333333334,1.205211,340.7782624410029,114997,metaharness,req_cov_raw=1.0,opus-4.8
metaharness-cli-data-pipeline-python-cheap,1,cheap,metaharness,none,python,cli-data-pipeline,fail,0.0,0.7888888888888889,0.0,720.0131529649952,0,metaharness,req_cov_raw=None,deepseek-v4-pro
metaharness-cli-data-pipeline-python-frontier,1,frontier,metaharness,none,python,cli-data-pipeline,pass,1.0,0.7888888888888889,0.865923,228.57462893999764,78874,metaharness,req_cov_raw=1.0,opus-4.8
metaharness-cli-data-pipeline-typescript-cheap,1,cheap,metaharness,none,typescript,cli-data-pipeline,fail,0.0,0.0,0.0,720.0106543209986,0,metaharness,req_cov_raw=None,deepseek-v4-pro
metaharness-cli-data-pipeline-typescript-frontier,1,frontier,metaharness,none,typescript,cli-data-pipeline,fail,0.9167,0.7333333333333334,1.414151,340.95935623100377,154767,metaharness,req_cov_raw=0.9167,opus-4.8
metaharness-cli-data-pipeline-go-cheap,1,cheap,metaharness,none,go,cli-data-pipeline,fail,0.0,0.0,0.0,720.0111456979939,0,metaharness,req_cov_raw=None,deepseek-v4-pro
metaharness-cli-data-pipeline-go-frontier,1,frontier,metaharness,none,go,cli-data-pipeline,pass,1.0,1.0,1.640851,425.9079846359964,151437,metaharness,req_cov_raw=1.0,opus-4.8
metaharness-cli-data-pipeline-rust-cheap,1,cheap,metaharness,none,rust,cli-data-pipeline,fail,0.875,0.8333333333333334,0.124118,592.7391839929915,137665,metaharness,req_cov_raw=0.875,deepseek-v4-pro
metaharness-cli-data-pipeline-rust-frontier,1,frontier,metaharness,none,rust,cli-data-pipeline,fail,0.0,0.0,0.0,720.0254807390011,0,metaharness,req_cov_raw=None,opus-4.8
metaharness-cli-data-pipeline-python-cheap,2,cheap,metaharness,none,python,cli-data-pipeline,pass,1.0,0.6666666666666666,0.151146,487.00129410000227,115359,metaharness,req_cov_raw=1.0,deepseek-v4-pro
metaharness-cli-data-pipeline-python-frontier,2,frontier,metaharness,none,python,cli-data-pipeline,pass,1.0,0.7888888888888889,0.585333,93.91121196799213,88809,metaharness,req_cov_raw=1.0,opus-4.8
metaharness-cli-data-pipeline-typescript-cheap,2,cheap,metaharness,none,typescript,cli-data-pipeline,fail,0.0,0.0,0.0,720.0081255080004,0,metaharness,req_cov_raw=None,deepseek-v4-pro
metaharness-cli-data-pipeline-typescript-frontier,2,frontier,metaharness,none,typescript,cli-data-pipeline,fail,0.8182,0.0,1.186243,246.5808738420019,148689,metaharness,req_cov_raw=0.8182,opus-4.8
metaharness-cli-data-pipeline-go-cheap,2,cheap,metaharness,none,go,cli-data-pipeline,pass,1.0,0.0,0.179176,534.7745953479898,145006,metaharness,req_cov_raw=1.0,deepseek-v4-pro
metaharness-cli-data-pipeline-go-frontier,2,frontier,metaharness,none,go,cli-data-pipeline,fail,0.0,0.0,0.0,720.0499660770001,0,metaharness,req_cov_raw=None,opus-4.8
metaharness-cli-data-pipeline-rust-cheap,2,cheap,metaharness,none,rust,cli-data-pipeline,fail,0.0,0.8333333333333334,0.0,720.0076309450087,0,metaharness,req_cov_raw=None,deepseek-v4-pro
metaharness-cli-data-pipeline-rust-frontier,2,frontier,metaharness,none,rust,cli-data-pipeline,pass,0.75,0.0,1.657508,412.1995434260025,166538,metaharness,req_cov_raw=0.75,opus-4.8
metaharness-cli-data-pipeline-python-cheap,3,cheap,metaharness,none,python,cli-data-pipeline,pass,1.0,0.7888888888888889,0.131535,598.9182399900019,130056,metaharness,req_cov_raw=1.0,deepseek-v4-pro
